Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Methodist Fremont Health,Fremont,176,"2,312","8,239","$337,869"
Methodist Hospital,Omaha,374,"18,408","93,350","$1,374,648"
Methodist Women's Hospital,Omaha,0,0,0,$0
Midwest Surgical Hospital,Omaha,19,"1,496","2,138","$139,914"
Nebraska Medicine- Bellevue,Bellevue,61,"4,897","15,489",$0
Nebraska Spine Hospital,Omaha,34,884,"2,338","$146,726"
Omaha VA Medical Center,Omaha,0,0,0,$0
OrthoNebraska,Omaha,24,"1,875","3,062","$186,424"
Regional West Medical Center,Scottsbluff,158,"5,295","21,834","$540,352"
The Nebraska Medical Center,Omaha,558,"29,102","167,631","$3,390,545"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Catholic Medical Center,Manchester,251,"11,824","64,942","$1,309,372"
Cheshire Medical Center,Keene,110,"4,347","19,182","$682,961"
Concord Hospital,Concord,221,"13,013","55,990","$1,357,755"
Dartmouth-Hitchcock Medical Center,Lebanon,422,"18,966","116,086","$3,030,629"
Elliot Hospital,Manchester,240,"11,833","59,704","$1,155,635"
Exeter Hospital,Exeter,97,"5,304","22,696","$623,638"
Frisbie Memorial Hospital,Rochester,84,"3,057","12,733","$364,564"
Lakes Region General Hospital,Laconia,96,"3,777","15,163","$466,492"
Manchester VA Medical Center,Manchester,0,0,0,$0
Parkland Medical Center,Derry,86,"3,717","14,386","$577,756"
Portsmouth Regional Hospital,Portsmouth,173,"8,601","43,994","$1,359,089"
Saint Joseph Hospital,Nashua,208,"4,691","23,010","$566,381"
Southern New Hampshire Medical Center,Nashua,160,"9,416","36,414","$663,998"
Wentworth-Douglass Hospital,Dover,118,"8,229","32,795","$1,039,721"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Palisades Medical Center,North Bergen,202,"9,575","41,821","$955,944"
AtlantiCare Regional Medical Center - Mainland Campus,Pomona,0,0,0,$0
AtlantiCare Regional Medical Center -Atlantic City Campus,Atlantic City,540,"30,244","135,601","$3,672,844"
Bayonne Medical Center,Bayonne,163,"5,083","23,070","$1,603,840"
Bayshore Medical Center,Holmdel,169,"7,212","37,434","$853,103"
Bergen New Bridge Medical Center,Paramus,"1,020","7,067","26,781","$565,859"
Cape Regional Medical Center,Cape May Court House,149,"6,520","24,371","$807,756"
Capital Health Medical Center - Hopewell,Pennington,145,"11,188","59,292","$3,724,947"
Capital Health Regional Medical Center,Trenton,162,"6,579","41,096","$3,231,249"
CentraState Medical Center,Freehold,264,"12,451","58,181","$1,062,980"
Chilton Medical Center,Pompton Plains,175,"9,116","39,823","$1,122,169"
Christ Hospital,Jersey City,178,"8,868","46,421","$2,261,484"
Clara Maass Medical Center,Belleville,342,"12,605","68,843","$1,411,511"
Community Medical Center,Toms River,449,"19,660","107,270","$2,028,328"
Cooper University Hospital,Camden,574,"28,570","158,191","$4,353,407"
Deborah Heart and Lung Center,Browns Mills,86,"3,840","20,543","$962,878"
East Orange General Hospital,East Orange,196,"4,929","25,260","$650,633"
Englewood Hospital and Medical Center,Englewood,289,"13,937","71,852","$3,764,615"
Hackensack Meridian Health JFK Medical Center,Edison,447,"20,340","94,894","$2,483,575"
Hackensack Meridian Health Mountainside Medical Center,Montclair,231,"10,662","41,538","$1,219,069"
Hackensack Meridian Health Pascack Valley Medical Center,Westwood,78,"4,955","19,785","$523,703"
Hackensack University Medical Center,Hackensack,711,"36,706","220,920","$5,585,188"
Hackettstown Medical Center,Hackettstown,64,"3,320","13,575",$0
Hoboken University Medical Center,Hoboken,190,"4,659","22,389","$1,753,126"
Holy Name Medical Center,Teaneck,307,"12,271","64,840","$1,721,334"
Hudson Regional Hospital,Secaucus,106,"2,299","8,721","$643,970"
Hunterdon Medical Center,Flemington,184,"8,670","38,148","$850,659"
Inspira Medical Center Elmer,Elmer,83,"2,916","11,605","$295,625"
Inspira Medical Center Mullica Hill,Mullica Hill,0,0,0,$0
Inspira Medical Center Vineland,Vineland,325,"16,308","76,379","$1,869,640"
Inspira Medical Center Woodbury,Woodbury,253,"8,125","39,530","$1,102,446"
Jefferson Washington Township Hospital,Turnersville,0,0,0,$0
Jefferson Cherry Hill Hospital,Cherry Hill,522,"26,830","127,205","$3,655,950"
Jefferson Stratford Hospital,Stratford,0,0,0,$0
Jersey City Medical Center,Jersey City,308,"13,027","70,853","$2,021,296"
Jersey Shore University Medical Center,Neptune,597,"29,251","149,670","$3,690,475"
"LTACH - CareOne at Hackensack University Medical Center, Pascack Valley",Westwood,0,0,0,$0
LTACH - CareOne at Trinitas Regional Medical Center,Elizabeth,0,0,0,$0
Monmouth Medical Center,Long Branch,342,"14,787","66,681","$1,625,841"
"Monmouth Medical Center, Southern Campus",Lakewood,201,"6,098","35,950","$647,596"
Morristown Medical Center,Morristown,693,"41,066","187,734","$5,739,361"
Newark Beth Israel Medical Center,Newark,487,"18,423","123,208","$2,690,119"
Newton Medical Center,Newton,146,"8,118","35,235","$1,408,686"
Ocean Medical Center,Brick,318,"13,885","75,256","$1,824,627"
Overlook Medical Center,Summit,467,"23,734","97,514","$2,893,795"
Princeton House Behavioral Health,Princeton,0,0,0,$0
Princeton Medical Center,Plainsboro,355,"13,863","60,067","$2,133,883"
Raritan Bay Medical Center - Old Bridge Division,Old Bridge,0,0,0,$0
Raritan Bay Medical Center - Perth Amboy Division,Perth Amboy,302,"11,641","60,066","$1,347,018"
Riverview Medical Center,Red Bank,304,"13,930","59,017","$1,463,323"
Robert Wood Johnson University Hospital at Rahway,Rahway,122,"4,776","25,201","$895,850"
Robert Wood Johnson University Hospital New Brunswick,New Brunswick,610,"30,830","172,117","$5,360,762"
Robert Wood Johnson University Hospital Somerset,Somerville,297,"12,611","60,810","$1,735,061"
RWJ University Hospital Hamilton,Hamilton,152,"7,055","35,078","$1,367,986"
Saint Barnabas Medical Center,Livingston,552,"28,094","162,495","$3,382,848"
Saint Clare's Denville Hospital,Denville,367,"14,713","55,495","$1,203,777"
Saint Clare's Hospital - Dover,Dover,243,3,29,"$79,118"
Saint Francis Medical Center,Trenton,134,"4,718","22,457","$828,590"
Saint Joseph's University Medical Center,Paterson,698,"33,009","187,142","$3,914,809"
Saint Joseph's Wayne Medical Center,Wayne,141,"6,040","35,308","$310,154"
Saint Luke's Warren Campus,Phillipsburg,92,"4,077","16,852","$1,011,042"
Saint Mary's General Hospital,Passaic,145,"6,044","26,288","$630,525"
Saint Michael's Medical Center,Newark,147,"8,370","34,843","$933,529"
Saint Peter's University Hospital,New Brunswick,353,"18,954","89,506","$3,291,434"
Salem Medical Center,Salem,126,"2,647","9,081","$437,495"
Shore Medical Center,Somers Point,199,"8,638","34,352","$1,018,197"
Southern Ocean Medical Center,Manahawkin,174,"7,613","27,024","$943,670"
The University Hospital,Newark,355,"15,230","99,643","$2,807,647"
The Valley Hospital,Ridgewood,363,"20,249","91,764","$2,379,918"
Trinitas Regional Medical Center,Elizabeth,442,"10,723","51,849","$1,497,985"
VA New Jersey Health Care System - Lyons Campus,Lyons,0,0,0,$0
VA New Jersey Healthcare System - East Orange Campus,East Orange,0,0,0,$0
Valley-Mount Sinai Comprehensive Cancer Care,Paramus,0,0,0,$0
Virtua Marlton Hospital,Marlton,0,0,0,$0
Virtua Memorial Hospital,Mount Holly,339,"16,955","72,528","$1,824,004"
Virtua Our Lady of Lourdes Hospital,Camden,301,"14,304","53,146","$1,939,752"
Virtua Voorhees Hospital,Voorhees,587,"35,329","144,883","$3,844,933"
Virtua Willingboro Hospital,Willingboro,144,"6,686","29,822","$805,790"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Santa Fe Indian Hospital,Santa Fe,4,19,86,$0
Acoma-Canoncito-Laguna Hospital,Acoma,6,38,122,$0
Alta Vista Regional Hospital,Las Vegas,46,977,"3,362","$185,297"
Artesia General Hospital,Artesia,49,892,"2,224","$179,574"
Carlsbad Medical Center,Carlsbad,121,"2,045","6,495","$372,114"
CHRISTUS Saint Vincent Physicians Medical Center,Santa Fe,12,325,828,"$31,559"
CHRISTUS Saint Vincent Regional Medical Center,Santa Fe,214,"10,520","43,757","$1,426,258"
Crownpoint Health Care Facility,Crownpoint,19,353,"1,175",$0
Eastern New Mexico Medical Center,Roswell,162,"5,105","19,731","$658,248"
Gallup Indian Medical Center,Gallup,74,"2,696","11,872",$0
Gerald Champion Regional Medical Center,Alamogordo,98,"3,103","10,691","$729,613"
Gila Regional Medical Center,Silver City,42,"1,033","4,432","$176,551"
Guadalupe County Hospital,Santa Rosa,10,212,584,"$22,787"
Lea Regional Medical Center,Hobbs,92,"2,157","6,420","$252,530"
Los Alamos Medical Center,Los Alamos,47,756,"2,701","$140,099"
Lovelace Medical Center,Albuquerque,293,"12,469","62,759","$1,733,872"
Lovelace Regional Hospital - Roswell,Roswell,27,"2,011","6,667","$231,435"
Lovelace Westside Hospital,Albuquerque,70,"3,079","9,963","$406,124"
Lovelace Women's Hospital,Albuquerque,162,"6,772","32,780","$948,546"
Memorial Medical Center,Las Cruces,199,"9,594","41,641","$1,223,372"
Mescalero Hospital,Mescalero,6,48,159,$0
MountainView Regional Medical Center,Las Cruces,180,"9,795","45,745","$1,239,067"
Plains Regional Medical Center,Clovis,106,"3,562","13,134","$307,470"
Presbyterian Espanola Hospital,Espanola,52,"2,097","7,983","$199,645"
Presbyterian Hospital,Albuquerque,716,"39,171","183,249","$3,639,545"
Presbyterian Kaseman Hospital,Albuquerque,85,"1,554","6,059","$215,707"
Presbyterian Rust Medical Center,Rio Rancho,0,0,0,$0
Presbyterian Santa Fe Medical Center,Santa Fe,36,"1,924","5,647","$245,913"
Raymond G. Murphy VA Medical Center,Albuquerque,0,0,0,$0
Rehoboth McKinley Christian Health Care Services Hospital,Gallup,28,"2,368","7,477","$245,047"
Roosevelt General Hospital,Portales,20,359,946,"$90,332"
San Juan Regional Medical Center,Farmington,184,"8,857","36,449","$748,231"
The Heart Hospital of New Mexico at Lovelace Medical Center,Albuquerque,55,"2,817","12,085","$258,668"
The Northern Navajo Medical Center,Shiprock,60,"1,692","6,991",$0
UNM Hospital,Albuquerque,555,"22,737","153,088","$2,101,048"
UNM Sandoval Regional Medical Center,Rio Rancho,60,"2,950","11,951","$211,606"
Zuni Hospital,Zuni,27,548,"2,164",$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Carson Tahoe Regional Medical Center,Carson City,211,"10,795","46,814","$1,059,467"
Carson Tahoe Sierra Surgery Hospital,Carson City,15,746,"1,772","$104,781"
Centennial Hills Hospital Medical Center,Las Vegas,248,"15,560","69,168","$2,341,932"
Children's Hospital of Nevada,Las Vegas,0,0,0,$0
Desert Springs Hospital Medical Center,Las Vegas,293,"12,675","58,563","$2,184,270"
Dignity Health - Saint Rose Dominican Sahara Campus,Las Vegas,0,0,0,$0
Dignity Health - St. Rose Dominican Rose de Lima Campus,Henderson,110,"3,641","14,919","$691,270"
Dignity Health - St. Rose Dominican Siena Campus,Henderson,326,"19,426","95,987","$3,071,158"
Dignity Health Saint Rose Dominican North Las Vegas Campus,North Las Vegas,32,682,"1,399","$368,241"
Dignity Health St. Rose Dominican's Blue Diamond Campus,Las Vegas,0,0,0,$0
"Dignity Health-Saint Rose Dominican, West Flamingo Campus",Las Vegas,0,0,0,$0
Dignity Health-St. Rose Dominican San Martin Campus,Las Vegas,136,"7,543","33,170","$1,254,650"
Henderson Hospital,Henderson,140,"10,545","35,470","$1,571,748"
Mike O'Callaghan Military Medical Center,Nellis Air Force Base,0,0,0,$0
MountainView Hospital,Las Vegas,384,"21,837","102,822","$3,873,767"
North Vista Hospital,North Las Vegas,177,"8,357","37,059","$801,421"
Northeastern Nevada Regional Hospital,Elko,59,"1,958","5,159","$214,261"
Northern Nevada Medical Center,Sparks,108,"4,042","13,241","$829,810"
Orthopedic Specialty Hospital of Nevada,Las Vegas,130,"3,375","20,734","$132,967"
Renown Regional Medical Center,Reno,637,"32,725","187,103","$3,640,874"
Renown South Meadows Medical Center,Reno,138,"4,080","13,403","$577,715"
Saint Mary's Regional Medical Center,Reno,252,"13,342","60,403","$1,127,999"
Southern Hills Hospital & Medical Center,Las Vegas,186,"9,899","39,940","$1,544,931"
Spring Valley Hospital Medical Center,Las Vegas,359,"17,218","81,066","$2,900,694"
Summerlin Hospital Medical Center,Las Vegas,401,"22,993","111,894","$3,724,161"
Sunrise Children's Hospital,Las Vegas,0,0,0,$0
Sunrise Hospital & Medical Center,Las Vegas,596,"28,518","179,113","$6,436,417"
University Medical Center,Las Vegas,498,"25,789","128,837","$3,413,693"
VA Sierra Nevada Health Care System,Reno,0,0,0,$0
VA Southern Nevada Healthcare System,Las Vegas,0,0,0,$0
Valley Hospital Medical Center,Las Vegas,290,"14,923","85,614","$2,604,304"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Long Island Community Hospital,Patchogue,235,"11,756","69,960","$1,419,960"
A.O. Fox Hospital,Oneonta,191,"2,168","8,222","$174,018"
Adirondack Medical Center at Saranac Lake,Saranac Lake,155,"2,001","7,868","$264,858"
Albany Medical Center,Albany,793,"39,130","214,165","$3,152,876"
Albany Stratton VA Medical Center,Albany,0,0,0,$0
Arnot Ogden Medical Center,Elmira,225,"10,921","46,139","$718,583"
Auburn Community Hospital,Auburn,179,"4,466","17,986","$269,620"
Bassett Medical Center,Cooperstown,180,"8,910","44,246","$1,134,872"
Batavia VA Medical Center,Batavia,0,0,0,$0
Bath VA Medical Center,Bath,0,0,0,$0
Bellevue Woman's Center,Niskayuna,40,"2,197","11,616","$49,835"
Bertrand Chaffee Hospital,Springville,103,853,"3,107","$45,753"
Bon Secours Community Hospital,Port Jervis,168,"2,868","14,014","$499,171"
"BronxCare Dr. Martin Luther King, Jr. Health Center",Bronx,564,"27,254","131,625","$968,732"
BronxCare Special Care Center,Bronx,0,0,0,$0
Brooks Memorial Hospital,Dunkirk,65,"2,180","10,201","$129,291"
Buffalo General Medical Center,Buffalo,"1,068","50,926","264,758","$3,326,172"
Buffalo VA Medical Center,Buffalo,0,0,0,$0
Burdett Birth Center,Troy,0,0,0,$0
Canandaigua VA Medical Center,Canandaigua,0,0,0,$0
Canton-Potsdam Hospital,Potsdam,94,"4,614","23,761","$419,240"
Catskill Regional Medical Center - Harris Campus,Harris,166,"3,485","16,320","$250,405"
Cayuga Medical Center at Ithaca,Ithaca,178,"6,257","28,410","$414,654"
Claxton-Hepburn Medical Center,Ogdensburg,130,"2,046","10,390","$230,531"
Clifton Springs Hospital and Clinic,Clifton Springs,203,"1,938","14,290","$149,734"
Columbia Memorial Hospital,Hudson,117,"4,342","23,510","$480,484"
Cornerstone of Fresh Meadows,Fresh Meadows,0,0,0,$0
Crouse Hospital,Syracuse,502,"19,181","114,794","$858,147"
Eastern Niagara Hospital-Lockport,Lockport,135,"4,071","27,558","$191,264"
Ellis Hospital,Schenectady,416,"16,882","92,773","$1,419,755"
Erie County Medical Center,Buffalo,906,"16,670","102,375","$1,025,323"
F.F. Thompson Hospital,Canandaigua,291,"4,613","21,085","$400,769"
Flushing Hospital Medical Center,Flushing,299,"13,402","67,185","$481,041"
Geneva General Hospital,Geneva,477,"3,607","15,323","$298,949"
Glen Cove Hospital,Glen Cove,119,"3,192","13,445","$501,246"
Glens Falls Hospital,Glens Falls,406,"11,172","51,127","$1,077,452"
Good Samaritan Hospital,Suffern,286,"14,833","70,259","$2,077,793"
Good Samaritan Hospital Medical Center,West Islip,437,"24,474","127,312","$2,983,104"
Guthrie Corning Hospital,Corning,65,"4,474","15,149","$473,384"
Guthrie Cortland Regional Medical Center,Cortland,194,"3,121","11,271","$217,521"
HealthAlliance - Broadway Campus,Kingston,149,"5,625","26,491","$637,728"
HealthAlliance Hospital Mary's Avenue Campus,Kingston,105,"1,676","7,761","$227,912"
Helen Hayes Hospital,West Haverstraw,155,0,0,"$109,916"
Highland Hospital,Rochester,235,"16,725","88,356","$892,569"
Hospital for Special Surgery,New York,215,"15,772","47,370","$2,151,514"
Huntington Hospital,Huntington,280,"15,261","66,201","$1,176,339"
Interfaith Medical Center,Brooklyn,243,"7,073","39,270","$539,049"
Ira Davenport Memorial Hospital,Bath,135,250,628,"$76,115"
Jack D. Weiler Hospital,Bronx,0,0,0,$0
Jamaica Hospital Medical Center,Jamaica,594,"15,321","76,376","$966,898"
James J. Peters VA Medical Center,Bronx,0,0,0,$0
John T. Mather Memorial Hospital,Port Jefferson,248,"10,472","58,577","$1,273,802"
Jones Memorial Hospital,Wellsville,49,"1,724","7,256","$105,648"
Keller Army Community Hospital,West Point,0,0,0,$0
Kenmore Mercy Hospital,Kenmore,344,"7,966","31,343","$389,889"
Kingsbrook Jewish Medical Center,Brooklyn,746,"6,618","42,403","$937,481"
Lenox Hill Hospital,New York,449,"27,874","118,159","$3,834,802"
Long Island Jewish Forest Hills Hospital,Forest Hills,227,"15,009","75,691","$1,030,735"
Long Island Jewish Medical Center,New Hyde Park,"1,549","71,299","365,219","$9,678,601"
Long Island Jewish Valley Stream,Valley Stream,337,"8,102","37,882","$750,801"
Maimonides Medical Center,Brooklyn,711,"34,994","194,690","$3,549,561"
Massena Hospital,Massena,50,"1,573","6,512","$113,063"
Memorial Sloan-Kettering Cancer Center,New York,498,"24,139","171,716","$7,929,799"
Mercy Hospital of Buffalo,Buffalo,470,"18,591","91,807","$1,036,453"
Mercy Medical Center,Rockville Centre,375,"9,100","47,366","$1,037,183"
Midhudson Regional Hospital of Westchester Medical Center,Poughkeepsie,243,"5,805","34,600","$437,716"
Millard Fillmore Suburban Hospital,Williamsville,0,0,0,$0
Monroe Community Hospital,Rochester,571,0,0,"$114,086"
Montefiore Hospital- Moses Campus,Bronx,"1,529","88,041","483,151","$13,189,711"
Montefiore Mount Vernon Hospital,Mount Vernon,85,"3,038","14,056","$258,619"
Montefiore New Rochelle Hospital,New Rochelle,301,"6,448","31,370","$492,432"
Montefiore Nyack Hospital,Nyack,235,"10,413","56,968","$1,157,523"
Montefiore St. Lukes Cornwall,Newburgh,193,"10,231","47,898","$871,362"
Montefiore Wakefield Campus,Bronx,345,"13,485","83,657","$647,213"
